product_id,product_name,category,store_id,store_name,city,stock_level,effective_reorder_threshold,recent_7_day_quantity_sold,recent_30_day_quantity_sold,recent_daily_sales_velocity,days_of_stock_remaining,shelf_life_days,supplier_id,last_sale_date,reason,trigger,evidence
P109,Curd,Dairy,S2,Vijayawada Branch,Vijayawada,18,15,22.0,131,3.142857142857143,5.7272727272727275,5,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=18, recent_30_day_sales=131, shelf_life_days=5, days_of_stock=5.73"
P109,Curd,Dairy,S3,Guntur Branch,Guntur,15,15,19.0,93,2.7142857142857144,5.526315789473684,5,SUP1,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=15, recent_30_day_sales=93, shelf_life_days=5, days_of_stock=5.53"
P112,Bananas,Fruits,S1,Hyderabad Central,Hyderabad,30,10,27.0,157,3.857142857142857,7.777777777777778,4,SUP4,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=30, recent_30_day_sales=157, shelf_life_days=4, days_of_stock=7.78"
P112,Bananas,Fruits,S2,Vijayawada Branch,Vijayawada,15,10,22.0,108,3.142857142857143,4.7727272727272725,4,SUP4,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=15, recent_30_day_sales=108, shelf_life_days=4, days_of_stock=4.77"
P113,Apples,Fruits,S1,Hyderabad Central,Hyderabad,45,15,20.0,140,2.857142857142857,15.75,10,SUP4,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=45, recent_30_day_sales=140, shelf_life_days=10, days_of_stock=15.75"
P114,Tomatoes,Vegetables,S1,Hyderabad Central,Hyderabad,20,10,1.0,5,0.14285714285714285,140.0,3,SUP4,2026-04-20,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=20, recent_30_day_sales=5, shelf_life_days=3, days_of_stock=140.0"
P114,Tomatoes,Vegetables,S2,Vijayawada Branch,Vijayawada,8,10,0.0,6,0.2,40.0,3,SUP4,2026-04-15,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=8, recent_30_day_sales=6, shelf_life_days=3, days_of_stock=40.0"
P114,Tomatoes,Vegetables,S3,Guntur Branch,Guntur,6,10,2.0,7,0.2857142857142857,21.0,3,SUP4,2026-04-20,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=6, recent_30_day_sales=7, shelf_life_days=3, days_of_stock=21.0"
P115,Potatoes,Vegetables,S1,Hyderabad Central,Hyderabad,90,25,26.0,151,3.7142857142857144,24.23076923076923,15,SUP4,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=90, recent_30_day_sales=151, shelf_life_days=15, days_of_stock=24.23"
P117,Chips,Snacks,S1,Hyderabad Central,Hyderabad,110,25,8.0,39,1.1428571428571428,96.25,90,SUP5,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=110, recent_30_day_sales=39, shelf_life_days=90, days_of_stock=96.25"
P117,Chips,Snacks,S2,Vijayawada Branch,Vijayawada,40,25,3.0,31,0.42857142857142855,93.33333333333334,90,SUP5,2026-04-21,stock has low recent movement or may outlast shelf life,recent_30_day_quantity <= 0 or days_of_stock_remaining >= shelf_life_days * 1.0,"stock=40, recent_30_day_sales=31, shelf_life_days=90, days_of_stock=93.33"
