product_id,store_id,stock_level,reorder_threshold,last_updated,product_name,category,cost_price,selling_price,store_name,city,inventory_value
P112,S1,5,10,2026-05-15,Bananas,Fruits,20,40.0,Hyderabad Central,Hyderabad,200.0
P112,S2,15,10,2026-04-22,Bananas,Fruits,20,40.0,Vijayawada Branch,Vijayawada,600.0
P112,S3,10,10,2026-04-22,Bananas,Fruits,20,40.0,Guntur Branch,Guntur,400.0
P113,S1,1,15,2026-04-28,Apples,Fruits,60,120.0,Hyderabad Central,Hyderabad,120.0
P113,S2,20,15,2026-04-22,Apples,Fruits,60,120.0,Vijayawada Branch,Vijayawada,2400.0
P113,S3,16,15,2026-04-22,Apples,Fruits,60,120.0,Guntur Branch,Guntur,1920.0
P114,S1,20,10,2026-04-22,Tomatoes,Vegetables,15,30.0,Hyderabad Central,Hyderabad,600.0
P114,S2,8,10,2026-04-22,Tomatoes,Vegetables,15,30.0,Vijayawada Branch,Vijayawada,240.0
P114,S3,6,10,2026-04-22,Tomatoes,Vegetables,15,30.0,Guntur Branch,Guntur,180.0
P115,S1,90,25,2026-04-22,Potatoes,Vegetables,20,35.0,Hyderabad Central,Hyderabad,3150.0
P115,S2,35,25,2026-04-22,Potatoes,Vegetables,20,35.0,Vijayawada Branch,Vijayawada,1225.0
P115,S3,5,25,2026-06-01,Potatoes,Vegetables,20,35.0,Guntur Branch,Guntur,175.0
P116,S1,120,30,2026-04-22,Noodles Pack,Snacks,20,40.0,Hyderabad Central,Hyderabad,4800.0
P116,S2,45,30,2026-04-22,Noodles Pack,Snacks,20,40.0,Vijayawada Branch,Vijayawada,1800.0
P116,S3,40,30,2026-04-22,Noodles Pack,Snacks,20,40.0,Guntur Branch,Guntur,1600.0
P117,S1,110,25,2026-04-22,Chips,Snacks,10,20.0,Hyderabad Central,Hyderabad,2200.0
P117,S2,40,25,2026-04-22,Chips,Snacks,10,20.0,Vijayawada Branch,Vijayawada,800.0
P117,S3,35,25,2026-04-22,Chips,Snacks,10,20.0,Guntur Branch,Guntur,700.0
P118,S1,25,10,2026-04-22,Ice Cream,Frozen,100,180.0,Hyderabad Central,Hyderabad,4500.0
P118,S2,12,10,2026-04-22,Ice Cream,Frozen,100,180.0,Vijayawada Branch,Vijayawada,2160.0
P118,S3,9,10,2026-04-22,Ice Cream,Frozen,100,180.0,Guntur Branch,Guntur,1620.0
P119,S1,140,20,2026-04-22,Tea Powder,Grocery,200,300.0,Hyderabad Central,Hyderabad,42000.0
P119,S2,60,20,2026-04-22,Tea Powder,Grocery,200,300.0,Vijayawada Branch,Vijayawada,18000.0
P119,S3,55,20,2026-04-22,Tea Powder,Grocery,200,300.0,Guntur Branch,Guntur,16500.0
P120,S1,130,15,2026-04-22,Coffee Powder,Grocery,250,400.0,Hyderabad Central,Hyderabad,52000.0
P120,S2,55,15,2026-04-22,Coffee Powder,Grocery,250,400.0,Vijayawada Branch,Vijayawada,22000.0
P120,S3,50,15,2026-04-22,Coffee Powder,Grocery,250,400.0,Guntur Branch,Guntur,20000.0
