sale_id,date,product_id,store_id,quantity_sold,selling_price
SALE000103,2026-02-22,P115,S3,1,35
SALE000104,2026-02-22,P116,S3,1,40
SALE000105,2026-02-22,P117,S3,2,20
SALE000106,2026-02-22,P118,S3,5,180
SALE000107,2026-02-22,P119,S3,4,300
SALE000108,2026-02-22,P120,S3,2,400
SALE000109,2026-02-23,P101,S1,10,60
SALE000110,2026-02-23,P102,S1,1,35
SALE000111,2026-02-23,P103,S1,3,80
SALE000112,2026-02-23,P104,S1,8,180
SALE000113,2026-02-23,P105,S1,8,90
SALE000114,2026-02-23,P106,S1,1,20
SALE000115,2026-02-23,P107,S1,8,50
SALE000116,2026-02-23,P108,S1,6,40
SALE000117,2026-02-23,P109,S1,4,50
SALE000118,2026-02-23,P110,S1,4,120
SALE000119,2026-02-23,P111,S1,7,250
SALE000120,2026-02-23,P112,S1,2,40
SALE000121,2026-02-23,P113,S1,3,120
SALE000122,2026-02-23,P115,S1,5,35
SALE000123,2026-02-23,P116,S1,1,40
SALE000124,2026-02-23,P118,S1,6,180
SALE000125,2026-02-23,P119,S1,5,300
SALE000126,2026-02-23,P120,S1,5,400
SALE000127,2026-02-23,P101,S2,9,60
SALE000128,2026-02-23,P103,S2,3,80
SALE000129,2026-02-23,P104,S2,7,180
SALE000130,2026-02-23,P105,S2,3,90
SALE000131,2026-02-23,P106,S2,1,20
SALE000132,2026-02-23,P107,S2,7,50
SALE000133,2026-02-23,P108,S2,6,40
SALE000134,2026-02-23,P109,S2,3,50
SALE000135,2026-02-23,P110,S2,3,120
SALE000136,2026-02-23,P111,S2,4,250
SALE000137,2026-02-23,P112,S2,4,40
SALE000138,2026-02-23,P113,S2,6,120
SALE000139,2026-02-23,P115,S2,6,35
SALE000140,2026-02-23,P116,S2,2,40
SALE000141,2026-02-23,P117,S2,1,20
SALE000142,2026-02-23,P118,S2,2,180
SALE000143,2026-02-23,P119,S2,6,300
SALE000144,2026-02-23,P120,S2,4,400
SALE000145,2026-02-23,P101,S3,8,60
SALE000146,2026-02-23,P103,S3,1,80
SALE000147,2026-02-23,P104,S3,6,180
SALE000148,2026-02-23,P105,S3,3,90
SALE000149,2026-02-23,P106,S3,1,20
SALE000150,2026-02-23,P107,S3,5,50
SALE000151,2026-02-23,P108,S3,4,40
SALE000152,2026-02-23,P109,S3,4,50
SALE000153,2026-02-23,P110,S3,5,120
SALE000154,2026-02-23,P111,S3,4,250
SALE000155,2026-02-23,P112,S3,1,40
SALE000156,2026-02-23,P113,S3,2,120
SALE000157,2026-02-23,P115,S3,5,35
SALE000158,2026-02-23,P116,S3,1,40
SALE000159,2026-02-23,P117,S3,1,20
SALE000160,2026-02-23,P118,S3,3,180
SALE000161,2026-02-23,P119,S3,4,300
SALE000162,2026-02-23,P120,S3,2,400
SALE000163,2026-02-24,P101,S1,11,60
SALE000164,2026-02-24,P103,S1,1,80
SALE000165,2026-02-24,P104,S1,7,180
SALE000166,2026-02-24,P105,S1,5,90
SALE000167,2026-02-24,P106,S1,3,20
SALE000168,2026-02-24,P107,S1,9,50
SALE000169,2026-02-24,P108,S1,3,40
SALE000170,2026-02-24,P109,S1,5,50
SALE000171,2026-02-24,P110,S1,6,120
SALE000172,2026-02-24,P111,S1,5,250
SALE000173,2026-02-24,P112,S1,5,40
SALE000174,2026-02-24,P113,S1,4,120
SALE000175,2026-02-24,P115,S1,5,35
SALE000176,2026-02-24,P116,S1,2,40
SALE000177,2026-02-24,P117,S1,1,20
SALE000178,2026-02-24,P118,S1,6,180
SALE000179,2026-02-24,P119,S1,7,300
SALE000180,2026-02-24,P120,S1,2,400
SALE000181,2026-02-24,P101,S2,8,60
SALE000182,2026-02-24,P104,S2,7,180
SALE000183,2026-02-24,P105,S2,7,90
SALE000184,2026-02-24,P106,S2,2,20
SALE000185,2026-02-24,P107,S2,10,50
SALE000186,2026-02-24,P108,S2,3,40
SALE000187,2026-02-24,P109,S2,4,50
SALE000188,2026-02-24,P110,S2,6,120
SALE000189,2026-02-24,P111,S2,5,250
SALE000190,2026-02-24,P112,S2,3,40
SALE000191,2026-02-24,P113,S2,6,120
SALE000192,2026-02-24,P115,S2,4,35
SALE000193,2026-02-24,P116,S2,4,40
SALE000194,2026-02-24,P117,S2,3,20
SALE000195,2026-02-24,P118,S2,4,180
SALE000196,2026-02-24,P119,S2,4,300
SALE000197,2026-02-24,P120,S2,5,400
SALE000198,2026-02-24,P101,S3,8,60
SALE000199,2026-02-24,P102,S3,1,35
SALE000200,2026-02-24,P103,S3,1,80
SALE000201,2026-02-24,P104,S3,5,180
SALE000202,2026-02-24,P105,S3,5,90
SALE000203,2026-02-24,P106,S3,2,20
SALE000204,2026-02-24,P107,S3,9,50
SALE000205,2026-02-24,P108,S3,4,40
SALE000206,2026-02-24,P109,S3,2,50
SALE000207,2026-02-24,P110,S3,4,120
SALE000208,2026-02-24,P111,S3,2,250
SALE000209,2026-02-24,P112,S3,4,40
SALE000210,2026-02-24,P113,S3,3,120
SALE000211,2026-02-24,P115,S3,2,35
SALE000212,2026-02-24,P117,S3,2,20
SALE000213,2026-02-24,P118,S3,5,180
SALE000214,2026-02-24,P119,S3,5,300
SALE000215,2026-02-24,P120,S3,4,400
SALE000216,2026-02-25,P101,S1,8,60
SALE000217,2026-02-25,P103,S1,2,80
SALE000218,2026-02-25,P104,S1,7,180
SALE000219,2026-02-25,P105,S1,5,90
SALE000220,2026-02-25,P106,S1,2,20
SALE000221,2026-02-25,P107,S1,10,50
SALE000222,2026-02-25,P108,S1,7,40
SALE000223,2026-02-25,P109,S1,7,50
SALE000224,2026-02-25,P110,S1,8,120
SALE000225,2026-02-25,P111,S1,5,250
SALE000226,2026-02-25,P112,S1,6,40
SALE000227,2026-02-25,P113,S1,4,120
SALE000228,2026-02-25,P114,S1,1,30
SALE000229,2026-02-25,P115,S1,4,35
SALE000230,2026-02-25,P116,S1,1,40
SALE000231,2026-02-25,P117,S1,2,20
SALE000232,2026-02-25,P118,S1,5,180
SALE000233,2026-02-25,P119,S1,4,300
SALE000234,2026-02-25,P120,S1,4,400
SALE000235,2026-02-25,P101,S2,9,60
SALE000236,2026-02-25,P103,S2,3,80
SALE000237,2026-02-25,P104,S2,5,180
SALE000238,2026-02-25,P105,S2,7,90
SALE000239,2026-02-25,P106,S2,3,20
SALE000240,2026-02-25,P107,S2,7,50
SALE000241,2026-02-25,P108,S2,6,40
SALE000242,2026-02-25,P109,S2,5,50
SALE000243,2026-02-25,P110,S2,7,120
SALE000244,2026-02-25,P111,S2,4,250
SALE000245,2026-02-25,P112,S2,4,40
SALE000246,2026-02-25,P113,S2,6,120
SALE000247,2026-02-25,P115,S2,5,35
SALE000248,2026-02-25,P116,S2,3,40
SALE000249,2026-02-25,P117,S2,1,20
SALE000250,2026-02-25,P118,S2,5,180
SALE000251,2026-02-25,P119,S2,5,300
SALE000252,2026-02-25,P120,S2,5,400
SALE000253,2026-02-25,P101,S3,7,60
SALE000254,2026-02-25,P102,S3,1,35
SALE000255,2026-02-25,P103,S3,1,80
SALE000256,2026-02-25,P104,S3,5,180
SALE000257,2026-02-25,P105,S3,5,90
SALE000258,2026-02-25,P107,S3,8,50
SALE000259,2026-02-25,P108,S3,4,40
SALE000260,2026-02-25,P109,S3,4,50
SALE000261,2026-02-25,P110,S3,5,120
SALE000262,2026-02-25,P111,S3,5,250
SALE000263,2026-02-25,P112,S3,3,40
SALE000264,2026-02-25,P113,S3,3,120
SALE000265,2026-02-25,P115,S3,4,35
SALE000266,2026-02-25,P116,S3,1,40
SALE000267,2026-02-25,P118,S3,3,180
SALE000268,2026-02-25,P119,S3,2,300
SALE000269,2026-02-25,P120,S3,3,400
SALE000270,2026-02-26,P101,S1,10,60
SALE000271,2026-02-26,P103,S1,2,80
SALE000272,2026-02-26,P104,S1,7,180
SALE000273,2026-02-26,P105,S1,5,90
SALE000274,2026-02-26,P106,S1,1,20
SALE000275,2026-02-26,P107,S1,11,50
SALE000276,2026-02-26,P108,S1,6,40
SALE000277,2026-02-26,P109,S1,6,50
SALE000278,2026-02-26,P110,S1,3,120
SALE000279,2026-02-26,P111,S1,3,250
SALE000280,2026-02-26,P112,S1,6,40
SALE000281,2026-02-26,P113,S1,6,120
SALE000282,2026-02-26,P115,S1,8,35
SALE000283,2026-02-26,P116,S1,3,40
SALE000284,2026-02-26,P117,S1,1,20
SALE000285,2026-02-26,P118,S1,4,180
SALE000286,2026-02-26,P119,S1,5,300
SALE000287,2026-02-26,P120,S1,6,400
SALE000288,2026-02-26,P101,S2,9,60
SALE000289,2026-02-26,P102,S2,1,35
SALE000290,2026-02-26,P103,S2,1,80
SALE000291,2026-02-26,P104,S2,8,180
SALE000292,2026-02-26,P105,S2,7,90
SALE000293,2026-02-26,P106,S2,2,20
SALE000294,2026-02-26,P107,S2,7,50
SALE000295,2026-02-26,P108,S2,5,40
SALE000296,2026-02-26,P109,S2,6,50
SALE000297,2026-02-26,P110,S2,3,120
SALE000298,2026-02-26,P111,S2,5,250
SALE000299,2026-02-26,P112,S2,4,40
SALE000300,2026-02-26,P113,S2,3,120
SALE000301,2026-02-26,P115,S2,4,35
SALE000302,2026-02-26,P116,S2,3,40
SALE000303,2026-02-26,P117,S2,1,20
SALE000304,2026-02-26,P118,S2,3,180
SALE000305,2026-02-26,P119,S2,6,300
SALE000306,2026-02-26,P120,S2,6,400
SALE000307,2026-02-26,P101,S3,9,60
SALE000308,2026-02-26,P102,S3,1,35
SALE000309,2026-02-26,P104,S3,5,180
SALE000310,2026-02-26,P105,S3,6,90
SALE000311,2026-02-26,P106,S3,1,20
SALE000312,2026-02-26,P107,S3,8,50
SALE000313,2026-02-26,P108,S3,4,40
SALE000314,2026-02-26,P109,S3,5,50
SALE000315,2026-02-26,P110,S3,4,120
SALE000316,2026-02-26,P111,S3,4,250
SALE000317,2026-02-26,P112,S3,2,40
SALE000318,2026-02-26,P113,S3,3,120
SALE000319,2026-02-26,P115,S3,3,35
SALE000320,2026-02-26,P116,S3,3,40
SALE000321,2026-02-26,P117,S3,1,20
SALE000322,2026-02-26,P118,S3,2,180
SALE000323,2026-02-26,P119,S3,4,300
SALE000324,2026-02-26,P120,S3,4,400
SALE000325,2026-02-27,P101,S1,9,60
SALE000326,2026-02-27,P103,S1,1,80
SALE000327,2026-02-27,P104,S1,5,180
SALE000328,2026-02-27,P105,S1,7,90
SALE000329,2026-02-27,P107,S1,12,50
SALE000330,2026-02-27,P108,S1,7,40
SALE000331,2026-02-27,P109,S1,6,50
SALE000332,2026-02-27,P110,S1,3,120
SALE000333,2026-02-27,P111,S1,6,250
SALE000334,2026-02-27,P112,S1,2,40
SALE000335,2026-02-27,P113,S1,7,120
SALE000336,2026-02-27,P115,S1,6,35
SALE000337,2026-02-27,P116,S1,1,40
SALE000338,2026-02-27,P117,S1,1,20
SALE000339,2026-02-27,P118,S1,3,180
SALE000340,2026-02-27,P119,S1,8,300
SALE000341,2026-02-27,P120,S1,7,400
SALE000342,2026-02-27,P101,S2,11,60
SALE000343,2026-02-27,P102,S2,1,35
SALE000344,2026-02-27,P103,S2,2,80
SALE000345,2026-02-27,P104,S2,7,180
SALE000346,2026-02-27,P105,S2,3,90
SALE000347,2026-02-27,P106,S2,1,20
SALE000348,2026-02-27,P107,S2,7,50
SALE000349,2026-02-27,P108,S2,3,40
SALE000350,2026-02-27,P109,S2,2,50
SALE000351,2026-02-27,P110,S2,2,120
SALE000352,2026-02-27,P111,S2,6,250
SALE000353,2026-02-27,P112,S2,7,40
SALE000354,2026-02-27,P113,S2,3,120
SALE000355,2026-02-27,P115,S2,4,35
SALE000356,2026-02-27,P116,S2,4,40
SALE000357,2026-02-27,P117,S2,1,20
SALE000358,2026-02-27,P118,S2,4,180
SALE000359,2026-02-27,P119,S2,4,300
SALE000360,2026-02-27,P120,S2,6,400
SALE000361,2026-02-27,P101,S3,6,60
SALE000362,2026-02-27,P104,S3,4,180
SALE000363,2026-02-27,P105,S3,6,90
SALE000364,2026-02-27,P106,S3,2,20
SALE000365,2026-02-27,P107,S3,8,50
SALE000366,2026-02-27,P108,S3,5,40
SALE000367,2026-02-27,P109,S3,3,50
SALE000368,2026-02-27,P110,S3,4,120
SALE000369,2026-02-27,P111,S3,4,250
SALE000370,2026-02-27,P112,S3,5,40
SALE000371,2026-02-27,P113,S3,1,120
SALE000372,2026-02-27,P115,S3,4,35
SALE000373,2026-02-27,P116,S3,2,40
SALE000374,2026-02-27,P117,S3,1,20
SALE000375,2026-02-27,P118,S3,5,180
SALE000376,2026-02-27,P119,S3,4,300
SALE000377,2026-02-27,P120,S3,6,400
SALE000378,2026-02-28,P101,S1,10,60
SALE000379,2026-02-28,P102,S1,1,35
SALE000380,2026-02-28,P103,S1,3,80
SALE000381,2026-02-28,P104,S1,7,180
SALE000382,2026-02-28,P105,S1,5,90
SALE000383,2026-02-28,P106,S1,3,20
SALE000384,2026-02-28,P107,S1,11,50
SALE000385,2026-02-28,P108,S1,5,40
SALE000386,2026-02-28,P109,S1,5,50
SALE000387,2026-02-28,P110,S1,5,120
SALE000388,2026-02-28,P111,S1,4,250
SALE000389,2026-02-28,P112,S1,5,40
SALE000390,2026-02-28,P113,S1,8,120
SALE000391,2026-02-28,P114,S1,1,30
SALE000392,2026-02-28,P115,S1,3,35
SALE000393,2026-02-28,P116,S1,3,40
SALE000394,2026-02-28,P117,S1,3,20
SALE000395,2026-02-28,P118,S1,3,180
SALE000396,2026-02-28,P119,S1,5,300
SALE000397,2026-02-28,P120,S1,6,400
SALE000398,2026-02-28,P101,S2,8,60
SALE000399,2026-02-28,P103,S2,3,80
SALE000400,2026-02-28,P104,S2,5,180
SALE000401,2026-02-28,P105,S2,5,90
SALE000402,2026-02-28,P106,S2,1,20
SALE000403,2026-02-28,P107,S2,8,50
SALE000404,2026-02-28,P108,S2,3,40
SALE000405,2026-02-28,P109,S2,5,50
SALE000406,2026-02-28,P110,S2,6,120
SALE000407,2026-02-28,P111,S2,6,250
SALE000408,2026-02-28,P112,S2,5,40
SALE000409,2026-02-28,P113,S2,5,120
SALE000410,2026-02-28,P114,S2,1,30
SALE000411,2026-02-28,P115,S2,3,35
SALE000412,2026-02-28,P116,S2,1,40
SALE000413,2026-02-28,P117,S2,2,20
SALE000414,2026-02-28,P118,S2,6,180
SALE000415,2026-02-28,P119,S2,3,300
SALE000416,2026-02-28,P120,S2,5,400
SALE000417,2026-02-28,P101,S3,7,60
SALE000418,2026-02-28,P102,S3,1,35
SALE000419,2026-02-28,P103,S3,1,80
SALE000420,2026-02-28,P104,S3,7,180
SALE000421,2026-02-28,P105,S3,5,90
SALE000422,2026-02-28,P106,S3,2,20
SALE000423,2026-02-28,P107,S3,7,50
SALE000424,2026-02-28,P108,S3,2,40
SALE000425,2026-02-28,P109,S3,5,50
SALE000426,2026-02-28,P110,S3,4,120
SALE000427,2026-02-28,P111,S3,3,250
SALE000428,2026-02-28,P112,S3,3,40
SALE000429,2026-02-28,P113,S3,3,120
SALE000430,2026-02-28,P115,S3,6,35
SALE000431,2026-02-28,P116,S3,1,40
SALE000432,2026-02-28,P117,S3,1,20
SALE000433,2026-02-28,P118,S3,3,180
SALE000434,2026-02-28,P119,S3,4,300
SALE000435,2026-02-28,P120,S3,6,400
SALE000436,2026-03-01,P101,S1,8,60
SALE000437,2026-03-01,P102,S1,1,35
SALE000438,2026-03-01,P103,S1,3,80
SALE000439,2026-03-01,P104,S1,4,180
SALE000440,2026-03-01,P105,S1,6,90
SALE000441,2026-03-01,P107,S1,10,50
SALE000442,2026-03-01,P108,S1,4,40
SALE000443,2026-03-01,P109,S1,4,50
SALE000444,2026-03-01,P110,S1,2,120
SALE000445,2026-03-01,P111,S1,4,250
SALE000446,2026-03-01,P112,S1,5,40
SALE000447,2026-03-01,P113,S1,6,120
SALE000448,2026-03-01,P115,S1,5,35
SALE000449,2026-03-01,P116,S1,3,40
SALE000450,2026-03-01,P117,S1,1,20
SALE000451,2026-03-01,P118,S1,4,180
SALE000452,2026-03-01,P119,S1,7,300
SALE000453,2026-03-01,P120,S1,6,400
SALE000454,2026-03-01,P101,S2,9,60
SALE000455,2026-03-01,P103,S2,2,80
SALE000456,2026-03-01,P104,S2,5,180
SALE000457,2026-03-01,P105,S2,6,90
SALE000458,2026-03-01,P106,S2,2,20
SALE000459,2026-03-01,P107,S2,8,50
SALE000460,2026-03-01,P108,S2,5,40
SALE000461,2026-03-01,P109,S2,5,50
SALE000462,2026-03-01,P110,S2,4,120
SALE000463,2026-03-01,P111,S2,4,250
SALE000464,2026-03-01,P112,S2,4,40
SALE000465,2026-03-01,P113,S2,6,120
SALE000466,2026-03-01,P115,S2,3,35
SALE000467,2026-03-01,P116,S2,4,40
SALE000468,2026-03-01,P117,S2,1,20
SALE000469,2026-03-01,P118,S2,5,180
SALE000470,2026-03-01,P119,S2,7,300
SALE000471,2026-03-01,P120,S2,4,400
SALE000472,2026-03-01,P101,S3,8,60
SALE000473,2026-03-01,P103,S3,2,80
SALE000474,2026-03-01,P104,S3,5,180
SALE000475,2026-03-01,P105,S3,3,90
SALE000476,2026-03-01,P106,S3,2,20
SALE000477,2026-03-01,P107,S3,6,50
SALE000478,2026-03-01,P108,S3,2,40
SALE000479,2026-03-01,P109,S3,4,50
SALE000480,2026-03-01,P110,S3,4,120
SALE000481,2026-03-01,P111,S3,3,250
SALE000482,2026-03-01,P112,S3,5,40
SALE000483,2026-03-01,P113,S3,5,120
SALE000484,2026-03-01,P115,S3,5,35
SALE000485,2026-03-01,P116,S3,1,40
SALE000486,2026-03-01,P117,S3,2,20
SALE000487,2026-03-01,P118,S3,2,180
SALE000488,2026-03-01,P119,S3,4,300
SALE000489,2026-03-01,P120,S3,5,400
SALE000490,2026-03-02,P101,S1,9,60
SALE000491,2026-03-02,P103,S1,1,80
SALE000492,2026-03-02,P104,S1,8,180
SALE000493,2026-03-02,P105,S1,8,90
SALE000494,2026-03-02,P106,S1,1,20
SALE000495,2026-03-02,P107,S1,10,50
SALE000496,2026-03-02,P108,S1,3,40
SALE000497,2026-03-02,P109,S1,7,50
SALE000498,2026-03-02,P110,S1,4,120
SALE000499,2026-03-02,P111,S1,6,250
SALE000500,2026-03-02,P112,S1,3,40
SALE000501,2026-03-02,P113,S1,2,120
SALE000502,2026-03-02,P115,S1,5,35
SALE000503,2026-03-02,P116,S1,1,40
SALE000504,2026-03-02,P117,S1,2,20
SALE000505,2026-03-02,P118,S1,6,180
SALE000506,2026-03-02,P119,S1,8,300
SALE000507,2026-03-02,P120,S1,7,400
SALE000508,2026-03-02,P101,S2,8,60
SALE000509,2026-03-02,P102,S2,1,35
SALE000510,2026-03-02,P103,S2,4,80
SALE000511,2026-03-02,P104,S2,5,180
SALE000512,2026-03-02,P105,S2,6,90
SALE000513,2026-03-02,P106,S2,3,20
SALE000514,2026-03-02,P107,S2,8,50
SALE000515,2026-03-02,P108,S2,3,40
SALE000516,2026-03-02,P109,S2,6,50
SALE000517,2026-03-02,P110,S2,4,120
SALE000518,2026-03-02,P111,S2,4,250
SALE000519,2026-03-02,P112,S2,4,40
SALE000520,2026-03-02,P113,S2,3,120
SALE000521,2026-03-02,P115,S2,3,35
SALE000522,2026-03-02,P116,S2,1,40
SALE000523,2026-03-02,P118,S2,6,180
SALE000524,2026-03-02,P119,S2,6,300
SALE000525,2026-03-02,P120,S2,3,400
SALE000526,2026-03-02,P101,S3,5,60
SALE000527,2026-03-02,P103,S3,1,80
SALE000528,2026-03-02,P104,S3,5,180
SALE000529,2026-03-02,P105,S3,3,90
SALE000530,2026-03-02,P107,S3,7,50
SALE000531,2026-03-02,P108,S3,5,40
SALE000532,2026-03-02,P109,S3,2,50
SALE000533,2026-03-02,P110,S3,3,120
SALE000534,2026-03-02,P111,S3,4,250
SALE000535,2026-03-02,P112,S3,4,40
SALE000536,2026-03-02,P113,S3,3,120
SALE000537,2026-03-02,P114,S3,1,30
SALE000538,2026-03-02,P115,S3,3,35
SALE000539,2026-03-02,P116,S3,1,40
SALE000540,2026-03-02,P117,S3,1,20
SALE000541,2026-03-02,P118,S3,3,180
SALE000542,2026-03-02,P119,S3,3,300
SALE000543,2026-03-02,P120,S3,5,400
SALE000544,2026-03-03,P101,S1,9,60
SALE000545,2026-03-03,P102,S1,1,35
SALE000546,2026-03-03,P104,S1,7,180
SALE000547,2026-03-03,P105,S1,5,90
SALE000548,2026-03-03,P106,S1,2,20
SALE000549,2026-03-03,P107,S1,11,50
SALE000550,2026-03-03,P108,S1,7,40
SALE000551,2026-03-03,P109,S1,2,50
SALE000552,2026-03-03,P110,S1,7,120
SALE000553,2026-03-03,P111,S1,7,250
SALE000554,2026-03-03,P112,S1,5,40
SALE000555,2026-03-03,P113,S1,6,120
SALE000556,2026-03-03,P114,S1,1,30
SALE000557,2026-03-03,P115,S1,5,35
SALE000558,2026-03-03,P116,S1,3,40
SALE000559,2026-03-03,P117,S1,2,20
SALE000560,2026-03-03,P118,S1,5,180
SALE000561,2026-03-03,P119,S1,5,300
SALE000562,2026-03-03,P120,S1,2,400
SALE000563,2026-03-03,P101,S2,8,60
SALE000564,2026-03-03,P103,S2,3,80
SALE000565,2026-03-03,P104,S2,4,180
SALE000566,2026-03-03,P105,S2,5,90
SALE000567,2026-03-03,P106,S2,2,20
SALE000568,2026-03-03,P107,S2,8,50
SALE000569,2026-03-03,P108,S2,4,40
SALE000570,2026-03-03,P109,S2,3,50
SALE000571,2026-03-03,P110,S2,6,120
SALE000572,2026-03-03,P111,S2,4,250
SALE000573,2026-03-03,P112,S2,2,40
SALE000574,2026-03-03,P113,S2,4,120
SALE000575,2026-03-03,P115,S2,4,35
SALE000576,2026-03-03,P116,S2,1,40
SALE000577,2026-03-03,P117,S2,1,20
SALE000578,2026-03-03,P118,S2,3,180
SALE000579,2026-03-03,P119,S2,4,300
SALE000580,2026-03-03,P120,S2,3,400
SALE000581,2026-03-03,P101,S3,6,60
SALE000582,2026-03-03,P102,S3,1,35
SALE000583,2026-03-03,P103,S3,1,80
SALE000584,2026-03-03,P104,S3,3,180
SALE000585,2026-03-03,P105,S3,5,90
SALE000586,2026-03-03,P106,S3,2,20
SALE000587,2026-03-03,P107,S3,7,50
SALE000588,2026-03-03,P108,S3,4,40
SALE000589,2026-03-03,P109,S3,3,50
SALE000590,2026-03-03,P110,S3,2,120
SALE000591,2026-03-03,P111,S3,2,250
SALE000592,2026-03-03,P112,S3,2,40
SALE000593,2026-03-03,P113,S3,5,120
SALE000594,2026-03-03,P114,S3,1,30
SALE000595,2026-03-03,P115,S3,6,35
SALE000596,2026-03-03,P116,S3,1,40
SALE000597,2026-03-03,P118,S3,5,180
SALE000598,2026-03-03,P119,S3,2,300
SALE000599,2026-03-03,P120,S3,6,400
SALE000600,2026-03-04,P101,S1,12,60
SALE000601,2026-03-04,P103,S1,2,80
SALE000602,2026-03-04,P104,S1,4,180
SALE000603,2026-03-04,P105,S1,6,90
SALE000604,2026-03-04,P106,S1,1,20
SALE000605,2026-03-04,P107,S1,10,50
SALE000606,2026-03-04,P108,S1,4,40
