transaction_id,date,transaction_type,product_id,store_id,quantity,source,remarks
TXN0000029,2026-04-22,inventory_snapshot,P110,S2,30,system_seed,Current inventory snapshot for S2
TXN0000030,2026-04-22,inventory_snapshot,P110,S3,25,system_seed,Current inventory snapshot for S3
TXN0000031,2026-04-22,inventory_snapshot,P111,S1,70,system_seed,Current inventory snapshot for S1
TXN0000032,2026-04-22,inventory_snapshot,P111,S2,22,system_seed,Current inventory snapshot for S2
TXN0000033,2026-04-22,inventory_snapshot,P111,S3,18,system_seed,Current inventory snapshot for S3
TXN0000034,2026-04-22,inventory_snapshot,P112,S1,30,system_seed,Current inventory snapshot for S1
TXN0000035,2026-04-22,inventory_snapshot,P112,S2,15,system_seed,Current inventory snapshot for S2
TXN0000036,2026-04-22,inventory_snapshot,P112,S3,10,system_seed,Current inventory snapshot for S3
TXN0000037,2026-04-22,inventory_snapshot,P113,S1,45,system_seed,Current inventory snapshot for S1
TXN0000038,2026-04-22,inventory_snapshot,P113,S2,20,system_seed,Current inventory snapshot for S2
TXN0000039,2026-04-22,inventory_snapshot,P113,S3,16,system_seed,Current inventory snapshot for S3
TXN0000040,2026-04-22,inventory_snapshot,P114,S1,20,system_seed,Current inventory snapshot for S1
TXN0000041,2026-04-22,inventory_snapshot,P114,S2,8,system_seed,Current inventory snapshot for S2
TXN0000042,2026-04-22,inventory_snapshot,P114,S3,6,system_seed,Current inventory snapshot for S3
TXN0000043,2026-04-22,inventory_snapshot,P115,S1,90,system_seed,Current inventory snapshot for S1
TXN0000044,2026-04-22,inventory_snapshot,P115,S2,35,system_seed,Current inventory snapshot for S2
TXN0000045,2026-04-22,inventory_snapshot,P115,S3,30,system_seed,Current inventory snapshot for S3
TXN0000046,2026-04-22,inventory_snapshot,P116,S1,120,system_seed,Current inventory snapshot for S1
TXN0000047,2026-04-22,inventory_snapshot,P116,S2,45,system_seed,Current inventory snapshot for S2
TXN0000048,2026-04-22,inventory_snapshot,P116,S3,40,system_seed,Current inventory snapshot for S3
TXN0000049,2026-04-22,inventory_snapshot,P117,S1,110,system_seed,Current inventory snapshot for S1
TXN0000050,2026-04-22,inventory_snapshot,P117,S2,40,system_seed,Current inventory snapshot for S2
TXN0000051,2026-04-22,inventory_snapshot,P117,S3,35,system_seed,Current inventory snapshot for S3
TXN0000052,2026-04-22,inventory_snapshot,P118,S1,25,system_seed,Current inventory snapshot for S1
TXN0000053,2026-04-22,inventory_snapshot,P118,S2,12,system_seed,Current inventory snapshot for S2
TXN0000054,2026-04-22,inventory_snapshot,P118,S3,9,system_seed,Current inventory snapshot for S3
TXN0000055,2026-04-22,inventory_snapshot,P119,S1,140,system_seed,Current inventory snapshot for S1
TXN0000056,2026-04-22,inventory_snapshot,P119,S2,60,system_seed,Current inventory snapshot for S2
TXN0000057,2026-04-22,inventory_snapshot,P119,S3,55,system_seed,Current inventory snapshot for S3
TXN0000058,2026-04-22,inventory_snapshot,P120,S1,130,system_seed,Current inventory snapshot for S1
TXN0000059,2026-04-22,inventory_snapshot,P120,S2,55,system_seed,Current inventory snapshot for S2
TXN0000060,2026-04-22,inventory_snapshot,P120,S3,50,system_seed,Current inventory snapshot for S3
TXN0000061,2026-02-21,sale,P101,S1,7,simulation_seed,Historical seeded sale SALE000001
TXN0000062,2026-02-21,sale,P103,S1,1,simulation_seed,Historical seeded sale SALE000002
TXN0000063,2026-02-21,sale,P104,S1,5,simulation_seed,Historical seeded sale SALE000003
TXN0000064,2026-02-21,sale,P105,S1,6,simulation_seed,Historical seeded sale SALE000004
TXN0000065,2026-02-21,sale,P107,S1,8,simulation_seed,Historical seeded sale SALE000005
TXN0000066,2026-02-21,sale,P108,S1,3,simulation_seed,Historical seeded sale SALE000006
TXN0000067,2026-02-21,sale,P109,S1,7,simulation_seed,Historical seeded sale SALE000007
TXN0000068,2026-02-21,sale,P110,S1,8,simulation_seed,Historical seeded sale SALE000008
TXN0000069,2026-02-21,sale,P111,S1,5,simulation_seed,Historical seeded sale SALE000009
TXN0000070,2026-02-21,sale,P112,S1,7,simulation_seed,Historical seeded sale SALE000010
TXN0000071,2026-02-21,sale,P113,S1,3,simulation_seed,Historical seeded sale SALE000011
TXN0000072,2026-02-21,sale,P114,S1,1,simulation_seed,Historical seeded sale SALE000012
TXN0000073,2026-02-21,sale,P115,S1,5,simulation_seed,Historical seeded sale SALE000013
TXN0000074,2026-02-21,sale,P116,S1,1,simulation_seed,Historical seeded sale SALE000014
TXN0000075,2026-02-21,sale,P117,S1,1,simulation_seed,Historical seeded sale SALE000015
TXN0000076,2026-02-21,sale,P118,S1,4,simulation_seed,Historical seeded sale SALE000016
TXN0000077,2026-02-21,sale,P119,S1,3,simulation_seed,Historical seeded sale SALE000017
TXN0000078,2026-02-21,sale,P120,S1,5,simulation_seed,Historical seeded sale SALE000018
TXN0000079,2026-02-21,sale,P101,S2,8,simulation_seed,Historical seeded sale SALE000019
TXN0000080,2026-02-21,sale,P103,S2,1,simulation_seed,Historical seeded sale SALE000020
TXN0000081,2026-02-21,sale,P104,S2,6,simulation_seed,Historical seeded sale SALE000021
TXN0000082,2026-02-21,sale,P105,S2,4,simulation_seed,Historical seeded sale SALE000022
TXN0000083,2026-02-21,sale,P106,S2,1,simulation_seed,Historical seeded sale SALE000023
TXN0000084,2026-02-21,sale,P107,S2,7,simulation_seed,Historical seeded sale SALE000024
TXN0000085,2026-02-21,sale,P108,S2,2,simulation_seed,Historical seeded sale SALE000025
TXN0000086,2026-02-21,sale,P109,S2,5,simulation_seed,Historical seeded sale SALE000026
TXN0000087,2026-02-21,sale,P110,S2,5,simulation_seed,Historical seeded sale SALE000027
TXN0000088,2026-02-21,sale,P111,S2,3,simulation_seed,Historical seeded sale SALE000028
TXN0000089,2026-02-21,sale,P112,S2,4,simulation_seed,Historical seeded sale SALE000029
TXN0000090,2026-02-21,sale,P113,S2,3,simulation_seed,Historical seeded sale SALE000030
TXN0000091,2026-02-21,sale,P115,S2,6,simulation_seed,Historical seeded sale SALE000031
TXN0000092,2026-02-21,sale,P116,S2,2,simulation_seed,Historical seeded sale SALE000032
TXN0000093,2026-02-21,sale,P117,S2,2,simulation_seed,Historical seeded sale SALE000033
TXN0000094,2026-02-21,sale,P118,S2,6,simulation_seed,Historical seeded sale SALE000034
TXN0000095,2026-02-21,sale,P119,S2,3,simulation_seed,Historical seeded sale SALE000035
TXN0000096,2026-02-21,sale,P120,S2,2,simulation_seed,Historical seeded sale SALE000036
TXN0000097,2026-02-21,sale,P101,S3,8,simulation_seed,Historical seeded sale SALE000037
TXN0000098,2026-02-21,sale,P103,S3,1,simulation_seed,Historical seeded sale SALE000038
TXN0000099,2026-02-21,sale,P104,S3,5,simulation_seed,Historical seeded sale SALE000039
TXN0000100,2026-02-21,sale,P105,S3,7,simulation_seed,Historical seeded sale SALE000040
TXN0000101,2026-02-21,sale,P106,S3,1,simulation_seed,Historical seeded sale SALE000041
TXN0000102,2026-02-21,sale,P107,S3,7,simulation_seed,Historical seeded sale SALE000042
TXN0000103,2026-02-21,sale,P108,S3,3,simulation_seed,Historical seeded sale SALE000043
TXN0000104,2026-02-21,sale,P109,S3,6,simulation_seed,Historical seeded sale SALE000044
TXN0000105,2026-02-21,sale,P110,S3,6,simulation_seed,Historical seeded sale SALE000045
TXN0000106,2026-02-21,sale,P111,S3,4,simulation_seed,Historical seeded sale SALE000046
TXN0000107,2026-02-21,sale,P112,S3,4,simulation_seed,Historical seeded sale SALE000047
TXN0000108,2026-02-21,sale,P113,S3,1,simulation_seed,Historical seeded sale SALE000048
TXN0000109,2026-02-21,sale,P115,S3,3,simulation_seed,Historical seeded sale SALE000049
TXN0000110,2026-02-21,sale,P116,S3,3,simulation_seed,Historical seeded sale SALE000050
TXN0000111,2026-02-21,sale,P117,S3,2,simulation_seed,Historical seeded sale SALE000051
TXN0000112,2026-02-21,sale,P118,S3,5,simulation_seed,Historical seeded sale SALE000052
TXN0000113,2026-02-21,sale,P119,S3,5,simulation_seed,Historical seeded sale SALE000053
TXN0000114,2026-02-21,sale,P120,S3,4,simulation_seed,Historical seeded sale SALE000054
TXN0000115,2026-02-22,sale,P101,S1,8,simulation_seed,Historical seeded sale SALE000055
TXN0000116,2026-02-22,sale,P103,S1,1,simulation_seed,Historical seeded sale SALE000056
TXN0000117,2026-02-22,sale,P104,S1,8,simulation_seed,Historical seeded sale SALE000057
TXN0000118,2026-02-22,sale,P105,S1,7,simulation_seed,Historical seeded sale SALE000058
TXN0000119,2026-02-22,sale,P106,S1,2,simulation_seed,Historical seeded sale SALE000059
TXN0000120,2026-02-22,sale,P107,S1,11,simulation_seed,Historical seeded sale SALE000060
TXN0000121,2026-02-22,sale,P108,S1,5,simulation_seed,Historical seeded sale SALE000061
TXN0000122,2026-02-22,sale,P109,S1,4,simulation_seed,Historical seeded sale SALE000062
TXN0000123,2026-02-22,sale,P110,S1,3,simulation_seed,Historical seeded sale SALE000063
TXN0000124,2026-02-22,sale,P111,S1,7,simulation_seed,Historical seeded sale SALE000064
TXN0000125,2026-02-22,sale,P112,S1,5,simulation_seed,Historical seeded sale SALE000065
TXN0000126,2026-02-22,sale,P113,S1,3,simulation_seed,Historical seeded sale SALE000066
TXN0000127,2026-02-22,sale,P115,S1,3,simulation_seed,Historical seeded sale SALE000067
TXN0000128,2026-02-22,sale,P117,S1,2,simulation_seed,Historical seeded sale SALE000068
TXN0000129,2026-02-22,sale,P118,S1,3,simulation_seed,Historical seeded sale SALE000069
TXN0000130,2026-02-22,sale,P119,S1,5,simulation_seed,Historical seeded sale SALE000070
TXN0000131,2026-02-22,sale,P120,S1,7,simulation_seed,Historical seeded sale SALE000071
TXN0000132,2026-02-22,sale,P101,S2,9,simulation_seed,Historical seeded sale SALE000072
TXN0000133,2026-02-22,sale,P103,S2,3,simulation_seed,Historical seeded sale SALE000073
TXN0000134,2026-02-22,sale,P104,S2,7,simulation_seed,Historical seeded sale SALE000074
TXN0000135,2026-02-22,sale,P105,S2,7,simulation_seed,Historical seeded sale SALE000075
TXN0000136,2026-02-22,sale,P106,S2,1,simulation_seed,Historical seeded sale SALE000076
TXN0000137,2026-02-22,sale,P107,S2,8,simulation_seed,Historical seeded sale SALE000077
TXN0000138,2026-02-22,sale,P108,S2,3,simulation_seed,Historical seeded sale SALE000078
TXN0000139,2026-02-22,sale,P109,S2,3,simulation_seed,Historical seeded sale SALE000079
TXN0000140,2026-02-22,sale,P110,S2,6,simulation_seed,Historical seeded sale SALE000080
TXN0000141,2026-02-22,sale,P111,S2,2,simulation_seed,Historical seeded sale SALE000081
TXN0000142,2026-02-22,sale,P112,S2,3,simulation_seed,Historical seeded sale SALE000082
TXN0000143,2026-02-22,sale,P113,S2,2,simulation_seed,Historical seeded sale SALE000083
TXN0000144,2026-02-22,sale,P115,S2,3,simulation_seed,Historical seeded sale SALE000084
TXN0000145,2026-02-22,sale,P116,S2,3,simulation_seed,Historical seeded sale SALE000085
TXN0000146,2026-02-22,sale,P117,S2,1,simulation_seed,Historical seeded sale SALE000086
TXN0000147,2026-02-22,sale,P118,S2,7,simulation_seed,Historical seeded sale SALE000087
TXN0000148,2026-02-22,sale,P119,S2,4,simulation_seed,Historical seeded sale SALE000088
TXN0000149,2026-02-22,sale,P120,S2,5,simulation_seed,Historical seeded sale SALE000089
TXN0000150,2026-02-22,sale,P101,S3,5,simulation_seed,Historical seeded sale SALE000090
TXN0000151,2026-02-22,sale,P102,S3,1,simulation_seed,Historical seeded sale SALE000091
TXN0000152,2026-02-22,sale,P103,S3,2,simulation_seed,Historical seeded sale SALE000092
TXN0000153,2026-02-22,sale,P104,S3,7,simulation_seed,Historical seeded sale SALE000093
TXN0000154,2026-02-22,sale,P105,S3,3,simulation_seed,Historical seeded sale SALE000094
TXN0000155,2026-02-22,sale,P106,S3,2,simulation_seed,Historical seeded sale SALE000095
TXN0000156,2026-02-22,sale,P107,S3,6,simulation_seed,Historical seeded sale SALE000096
TXN0000157,2026-02-22,sale,P108,S3,3,simulation_seed,Historical seeded sale SALE000097
TXN0000158,2026-02-22,sale,P109,S3,4,simulation_seed,Historical seeded sale SALE000098
TXN0000159,2026-02-22,sale,P110,S3,4,simulation_seed,Historical seeded sale SALE000099
TXN0000160,2026-02-22,sale,P111,S3,3,simulation_seed,Historical seeded sale SALE000100
TXN0000161,2026-02-22,sale,P112,S3,4,simulation_seed,Historical seeded sale SALE000101
TXN0000162,2026-02-22,sale,P113,S3,3,simulation_seed,Historical seeded sale SALE000102
TXN0000163,2026-02-22,sale,P115,S3,1,simulation_seed,Historical seeded sale SALE000103
TXN0000164,2026-02-22,sale,P116,S3,1,simulation_seed,Historical seeded sale SALE000104
TXN0000165,2026-02-22,sale,P117,S3,2,simulation_seed,Historical seeded sale SALE000105
TXN0000166,2026-02-22,sale,P118,S3,5,simulation_seed,Historical seeded sale SALE000106
TXN0000167,2026-02-22,sale,P119,S3,4,simulation_seed,Historical seeded sale SALE000107
TXN0000168,2026-02-22,sale,P120,S3,2,simulation_seed,Historical seeded sale SALE000108
TXN0000169,2026-02-23,sale,P101,S1,10,simulation_seed,Historical seeded sale SALE000109
TXN0000170,2026-02-23,sale,P102,S1,1,simulation_seed,Historical seeded sale SALE000110
TXN0000171,2026-02-23,sale,P103,S1,3,simulation_seed,Historical seeded sale SALE000111
TXN0000172,2026-02-23,sale,P104,S1,8,simulation_seed,Historical seeded sale SALE000112
TXN0000173,2026-02-23,sale,P105,S1,8,simulation_seed,Historical seeded sale SALE000113
TXN0000174,2026-02-23,sale,P106,S1,1,simulation_seed,Historical seeded sale SALE000114
TXN0000175,2026-02-23,sale,P107,S1,8,simulation_seed,Historical seeded sale SALE000115
TXN0000176,2026-02-23,sale,P108,S1,6,simulation_seed,Historical seeded sale SALE000116
TXN0000177,2026-02-23,sale,P109,S1,4,simulation_seed,Historical seeded sale SALE000117
TXN0000178,2026-02-23,sale,P110,S1,4,simulation_seed,Historical seeded sale SALE000118
TXN0000179,2026-02-23,sale,P111,S1,7,simulation_seed,Historical seeded sale SALE000119
TXN0000180,2026-02-23,sale,P112,S1,2,simulation_seed,Historical seeded sale SALE000120
TXN0000181,2026-02-23,sale,P113,S1,3,simulation_seed,Historical seeded sale SALE000121
TXN0000182,2026-02-23,sale,P115,S1,5,simulation_seed,Historical seeded sale SALE000122
TXN0000183,2026-02-23,sale,P116,S1,1,simulation_seed,Historical seeded sale SALE000123
TXN0000184,2026-02-23,sale,P118,S1,6,simulation_seed,Historical seeded sale SALE000124
TXN0000185,2026-02-23,sale,P119,S1,5,simulation_seed,Historical seeded sale SALE000125
TXN0000186,2026-02-23,sale,P120,S1,5,simulation_seed,Historical seeded sale SALE000126
TXN0000187,2026-02-23,sale,P101,S2,9,simulation_seed,Historical seeded sale SALE000127
TXN0000188,2026-02-23,sale,P103,S2,3,simulation_seed,Historical seeded sale SALE000128
TXN0000189,2026-02-23,sale,P104,S2,7,simulation_seed,Historical seeded sale SALE000129
TXN0000190,2026-02-23,sale,P105,S2,3,simulation_seed,Historical seeded sale SALE000130
TXN0000191,2026-02-23,sale,P106,S2,1,simulation_seed,Historical seeded sale SALE000131
TXN0000192,2026-02-23,sale,P107,S2,7,simulation_seed,Historical seeded sale SALE000132
TXN0000193,2026-02-23,sale,P108,S2,6,simulation_seed,Historical seeded sale SALE000133
TXN0000194,2026-02-23,sale,P109,S2,3,simulation_seed,Historical seeded sale SALE000134
TXN0000195,2026-02-23,sale,P110,S2,3,simulation_seed,Historical seeded sale SALE000135
TXN0000196,2026-02-23,sale,P111,S2,4,simulation_seed,Historical seeded sale SALE000136
TXN0000197,2026-02-23,sale,P112,S2,4,simulation_seed,Historical seeded sale SALE000137
TXN0000198,2026-02-23,sale,P113,S2,6,simulation_seed,Historical seeded sale SALE000138
TXN0000199,2026-02-23,sale,P115,S2,6,simulation_seed,Historical seeded sale SALE000139
TXN0000200,2026-02-23,sale,P116,S2,2,simulation_seed,Historical seeded sale SALE000140
TXN0000201,2026-02-23,sale,P117,S2,1,simulation_seed,Historical seeded sale SALE000141
TXN0000202,2026-02-23,sale,P118,S2,2,simulation_seed,Historical seeded sale SALE000142
TXN0000203,2026-02-23,sale,P119,S2,6,simulation_seed,Historical seeded sale SALE000143
TXN0000204,2026-02-23,sale,P120,S2,4,simulation_seed,Historical seeded sale SALE000144
TXN0000205,2026-02-23,sale,P101,S3,8,simulation_seed,Historical seeded sale SALE000145
TXN0000206,2026-02-23,sale,P103,S3,1,simulation_seed,Historical seeded sale SALE000146
TXN0000207,2026-02-23,sale,P104,S3,6,simulation_seed,Historical seeded sale SALE000147
TXN0000208,2026-02-23,sale,P105,S3,3,simulation_seed,Historical seeded sale SALE000148
TXN0000209,2026-02-23,sale,P106,S3,1,simulation_seed,Historical seeded sale SALE000149
TXN0000210,2026-02-23,sale,P107,S3,5,simulation_seed,Historical seeded sale SALE000150
TXN0000211,2026-02-23,sale,P108,S3,4,simulation_seed,Historical seeded sale SALE000151
TXN0000212,2026-02-23,sale,P109,S3,4,simulation_seed,Historical seeded sale SALE000152
TXN0000213,2026-02-23,sale,P110,S3,5,simulation_seed,Historical seeded sale SALE000153
TXN0000214,2026-02-23,sale,P111,S3,4,simulation_seed,Historical seeded sale SALE000154
TXN0000215,2026-02-23,sale,P112,S3,1,simulation_seed,Historical seeded sale SALE000155
TXN0000216,2026-02-23,sale,P113,S3,2,simulation_seed,Historical seeded sale SALE000156
TXN0000217,2026-02-23,sale,P115,S3,5,simulation_seed,Historical seeded sale SALE000157
TXN0000218,2026-02-23,sale,P116,S3,1,simulation_seed,Historical seeded sale SALE000158
TXN0000219,2026-02-23,sale,P117,S3,1,simulation_seed,Historical seeded sale SALE000159
TXN0000220,2026-02-23,sale,P118,S3,3,simulation_seed,Historical seeded sale SALE000160
TXN0000221,2026-02-23,sale,P119,S3,4,simulation_seed,Historical seeded sale SALE000161
TXN0000222,2026-02-23,sale,P120,S3,2,simulation_seed,Historical seeded sale SALE000162
TXN0000223,2026-02-24,sale,P101,S1,11,simulation_seed,Historical seeded sale SALE000163
TXN0000224,2026-02-24,sale,P103,S1,1,simulation_seed,Historical seeded sale SALE000164
TXN0000225,2026-02-24,sale,P104,S1,7,simulation_seed,Historical seeded sale SALE000165
TXN0000226,2026-02-24,sale,P105,S1,5,simulation_seed,Historical seeded sale SALE000166
TXN0000227,2026-02-24,sale,P106,S1,3,simulation_seed,Historical seeded sale SALE000167
TXN0000228,2026-02-24,sale,P107,S1,9,simulation_seed,Historical seeded sale SALE000168
TXN0000229,2026-02-24,sale,P108,S1,3,simulation_seed,Historical seeded sale SALE000169
TXN0000230,2026-02-24,sale,P109,S1,5,simulation_seed,Historical seeded sale SALE000170
TXN0000231,2026-02-24,sale,P110,S1,6,simulation_seed,Historical seeded sale SALE000171
TXN0000232,2026-02-24,sale,P111,S1,5,simulation_seed,Historical seeded sale SALE000172
TXN0000233,2026-02-24,sale,P112,S1,5,simulation_seed,Historical seeded sale SALE000173
TXN0000234,2026-02-24,sale,P113,S1,4,simulation_seed,Historical seeded sale SALE000174
TXN0000235,2026-02-24,sale,P115,S1,5,simulation_seed,Historical seeded sale SALE000175
TXN0000236,2026-02-24,sale,P116,S1,2,simulation_seed,Historical seeded sale SALE000176
TXN0000237,2026-02-24,sale,P117,S1,1,simulation_seed,Historical seeded sale SALE000177
TXN0000238,2026-02-24,sale,P118,S1,6,simulation_seed,Historical seeded sale SALE000178
TXN0000239,2026-02-24,sale,P119,S1,7,simulation_seed,Historical seeded sale SALE000179
TXN0000240,2026-02-24,sale,P120,S1,2,simulation_seed,Historical seeded sale SALE000180
TXN0000241,2026-02-24,sale,P101,S2,8,simulation_seed,Historical seeded sale SALE000181
TXN0000242,2026-02-24,sale,P104,S2,7,simulation_seed,Historical seeded sale SALE000182
TXN0000243,2026-02-24,sale,P105,S2,7,simulation_seed,Historical seeded sale SALE000183
TXN0000244,2026-02-24,sale,P106,S2,2,simulation_seed,Historical seeded sale SALE000184
TXN0000245,2026-02-24,sale,P107,S2,10,simulation_seed,Historical seeded sale SALE000185
TXN0000246,2026-02-24,sale,P108,S2,3,simulation_seed,Historical seeded sale SALE000186
TXN0000247,2026-02-24,sale,P109,S2,4,simulation_seed,Historical seeded sale SALE000187
TXN0000248,2026-02-24,sale,P110,S2,6,simulation_seed,Historical seeded sale SALE000188
TXN0000249,2026-02-24,sale,P111,S2,5,simulation_seed,Historical seeded sale SALE000189
TXN0000250,2026-02-24,sale,P112,S2,3,simulation_seed,Historical seeded sale SALE000190
TXN0000251,2026-02-24,sale,P113,S2,6,simulation_seed,Historical seeded sale SALE000191
TXN0000252,2026-02-24,sale,P115,S2,4,simulation_seed,Historical seeded sale SALE000192
TXN0000253,2026-02-24,sale,P116,S2,4,simulation_seed,Historical seeded sale SALE000193
TXN0000254,2026-02-24,sale,P117,S2,3,simulation_seed,Historical seeded sale SALE000194
TXN0000255,2026-02-24,sale,P118,S2,4,simulation_seed,Historical seeded sale SALE000195
TXN0000256,2026-02-24,sale,P119,S2,4,simulation_seed,Historical seeded sale SALE000196
TXN0000257,2026-02-24,sale,P120,S2,5,simulation_seed,Historical seeded sale SALE000197
TXN0000258,2026-02-24,sale,P101,S3,8,simulation_seed,Historical seeded sale SALE000198
TXN0000259,2026-02-24,sale,P102,S3,1,simulation_seed,Historical seeded sale SALE000199
TXN0000260,2026-02-24,sale,P103,S3,1,simulation_seed,Historical seeded sale SALE000200
TXN0000261,2026-02-24,sale,P104,S3,5,simulation_seed,Historical seeded sale SALE000201
TXN0000262,2026-02-24,sale,P105,S3,5,simulation_seed,Historical seeded sale SALE000202
TXN0000263,2026-02-24,sale,P106,S3,2,simulation_seed,Historical seeded sale SALE000203
TXN0000264,2026-02-24,sale,P107,S3,9,simulation_seed,Historical seeded sale SALE000204
TXN0000265,2026-02-24,sale,P108,S3,4,simulation_seed,Historical seeded sale SALE000205
TXN0000266,2026-02-24,sale,P109,S3,2,simulation_seed,Historical seeded sale SALE000206
TXN0000267,2026-02-24,sale,P110,S3,4,simulation_seed,Historical seeded sale SALE000207
TXN0000268,2026-02-24,sale,P111,S3,2,simulation_seed,Historical seeded sale SALE000208
TXN0000269,2026-02-24,sale,P112,S3,4,simulation_seed,Historical seeded sale SALE000209
TXN0000270,2026-02-24,sale,P113,S3,3,simulation_seed,Historical seeded sale SALE000210
TXN0000271,2026-02-24,sale,P115,S3,2,simulation_seed,Historical seeded sale SALE000211
TXN0000272,2026-02-24,sale,P117,S3,2,simulation_seed,Historical seeded sale SALE000212
TXN0000273,2026-02-24,sale,P118,S3,5,simulation_seed,Historical seeded sale SALE000213
TXN0000274,2026-02-24,sale,P119,S3,5,simulation_seed,Historical seeded sale SALE000214
TXN0000275,2026-02-24,sale,P120,S3,4,simulation_seed,Historical seeded sale SALE000215
TXN0000276,2026-02-25,sale,P101,S1,8,simulation_seed,Historical seeded sale SALE000216
TXN0000277,2026-02-25,sale,P103,S1,2,simulation_seed,Historical seeded sale SALE000217
TXN0000278,2026-02-25,sale,P104,S1,7,simulation_seed,Historical seeded sale SALE000218
TXN0000279,2026-02-25,sale,P105,S1,5,simulation_seed,Historical seeded sale SALE000219
TXN0000280,2026-02-25,sale,P106,S1,2,simulation_seed,Historical seeded sale SALE000220
TXN0000281,2026-02-25,sale,P107,S1,10,simulation_seed,Historical seeded sale SALE000221
TXN0000282,2026-02-25,sale,P108,S1,7,simulation_seed,Historical seeded sale SALE000222
TXN0000283,2026-02-25,sale,P109,S1,7,simulation_seed,Historical seeded sale SALE000223
TXN0000284,2026-02-25,sale,P110,S1,8,simulation_seed,Historical seeded sale SALE000224
TXN0000285,2026-02-25,sale,P111,S1,5,simulation_seed,Historical seeded sale SALE000225
TXN0000286,2026-02-25,sale,P112,S1,6,simulation_seed,Historical seeded sale SALE000226
TXN0000287,2026-02-25,sale,P113,S1,4,simulation_seed,Historical seeded sale SALE000227
TXN0000288,2026-02-25,sale,P114,S1,1,simulation_seed,Historical seeded sale SALE000228
TXN0000289,2026-02-25,sale,P115,S1,4,simulation_seed,Historical seeded sale SALE000229
TXN0000290,2026-02-25,sale,P116,S1,1,simulation_seed,Historical seeded sale SALE000230
TXN0000291,2026-02-25,sale,P117,S1,2,simulation_seed,Historical seeded sale SALE000231
TXN0000292,2026-02-25,sale,P118,S1,5,simulation_seed,Historical seeded sale SALE000232
TXN0000293,2026-02-25,sale,P119,S1,4,simulation_seed,Historical seeded sale SALE000233
TXN0000294,2026-02-25,sale,P120,S1,4,simulation_seed,Historical seeded sale SALE000234
TXN0000295,2026-02-25,sale,P101,S2,9,simulation_seed,Historical seeded sale SALE000235
TXN0000296,2026-02-25,sale,P103,S2,3,simulation_seed,Historical seeded sale SALE000236
TXN0000297,2026-02-25,sale,P104,S2,5,simulation_seed,Historical seeded sale SALE000237
TXN0000298,2026-02-25,sale,P105,S2,7,simulation_seed,Historical seeded sale SALE000238
TXN0000299,2026-02-25,sale,P106,S2,3,simulation_seed,Historical seeded sale SALE000239
